command_id,command,environment,expected_exit_code,actual_exit_code,stdout_summary,stderr_summary,output_paths,status,notes
help-top,rak --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak [-h] [--version] {init,inventory,freeze,verify,support-audit,pareto-audit,split-audit,gate,deviation,claims} ... Audit scientific repository evidence-chain mechanics. positional arguments: {init,inventory,freeze,verify,support-au",,,PASS,explicit parser help check; no traceback
help-init,rak init --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak init [-h] --root ROOT --policy POLICY options: -h, --help show this help message and exit --root ROOT --policy POLICY",,,PASS,explicit parser help check; no traceback
help-inventory,rak inventory --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak inventory [-h] --root ROOT --policy POLICY --out OUT options: -h, --help show this help message and exit --root ROOT --policy POLICY --out OUT",,,PASS,explicit parser help check; no traceback
help-freeze,rak freeze --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak freeze [-h] --root ROOT --policy POLICY --baseline BASELINE [--force] options: -h, --help show this help message and exit --root ROOT --policy POLICY --baseline BASELINE --force",,,PASS,explicit parser help check; no traceback
help-verify,rak verify --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak verify [-h] --root ROOT --baseline BASELINE --out OUT options: -h, --help show this help message and exit --root ROOT --baseline BASELINE --out OUT",,,PASS,explicit parser help check; no traceback
help-support,rak support-audit --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak support-audit [-h] --data DATA --features FEATURES [--discrete DISCRETE] [--schema SCHEMA] --out OUT options: -h, --help show this help message and exit --data DATA --features FEATURES --discrete DISCRETE --schema SCHEMA --out OU",,,PASS,explicit parser help check; no traceback
help-pareto,rak pareto-audit --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak pareto-audit [-h] --candidates CANDIDATES --objectives OBJECTIVES --support-column SUPPORT_COLUMN [--selected-column SELECTED_COLUMN] [--claimed-column CLAIMED_COLUMN] --out OUT options: -h, --help show this help message and exit",,,PASS,explicit parser help check; no traceback
help-split,rak split-audit --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak split-audit [-h] --data DATA --manifest MANIFEST --id-column ID_COLUMN [--coordinate-columns COORDINATE_COLUMNS] [--group-column GROUP_COLUMN] [--time-column TIME_COLUMN] [--branch-column BRANCH_COLUMN] --out OUT options: -h, --h",,,PASS,explicit parser help check; no traceback
help-gate,rak gate --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak gate [-h] --metrics METRICS --policy POLICY --out OUT options: -h, --help show this help message and exit --metrics METRICS --policy POLICY --out OUT",,,PASS,explicit parser help check; no traceback
help-deviation,rak deviation record --help,clean wheel venv; no PYTHONPATH; no network,0,0,"usage: rak deviation record [-h] --config CONFIG --out OUT options: -h, --help show this help message and exit --config CONFIG --out OUT",,,PASS,explicit parser help check; no traceback
